PROGRAMS,
a52dec 0.7.4-11,
aalib 1.4rc5-14,
accountsservice 0.6.55-3,
acl 2.2.53-3,
acpi 1.7-3,
adapta-gtk-theme 3.95.0.11-1,
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1,
adobe-source-han-sans-cn-fonts 2.002-1,
adobe-source-han-sans-jp-fonts 2.002-1,
adobe-source-han-sans-kr-fonts 2.002-1,
adwaita-icon-theme 3.38.0-1,
alsa-card-profiles 1:0.3.23-1,
alsa-firmware 1.2.4-2,
alsa-lib 1.2.4-3,
alsa-plugins 1:1.2.2-2,
alsa-topology-conf 1.2.4-2,
alsa-ucm-conf 1.2.4-2,
alsa-utils 1.2.4-2,
amd-ucode 20210208.b79d239-1,
aom 2.0.2-1,
appstream 0.14.2-1,
arandr 0.1.10-5,
arc-gtk-theme 20210127-1,
arch-install-scripts 23-2,
archlinux-keyring 20210110-1,
arcolinux-grub-theme-vimix-git 20200928-1,
arcolinux-keyring 20230919-6,
arcolinux-mirrorlist-git 21.01-1,
arcolinux-neofetch-git 21.01-1,
arcolinux-wallpapers-git 21.01-2,
arcolinux-welcome-app-git 21.02-3,
arcolinuxd-system-config-git 21.02-3,
argon2 20190702-3,
asciinema 2.0.2-5,
at-spi2-atk 2.38.0-1,
at-spi2-core 2.38.0-1,
atk 2.36.0-1,
atkmm 2.28.1-1,
attr 2.4.48-3,
audit 3.0-1,
autoconf 2.71-1,
automake 1.16.3-1,
avahi 0.8+15+ge8a3dd0-3,
base 2-2,
bash 5.1.004-1,
bash-completion 2.11-1,
bc 1.07.1-4,
bibata-cursor-theme 1.0.3-1,
bind 9.16.12-1,
binutils 2.36.1-2,
bison 3.7.3-1,
blueberry 1.3.9-1,
bluez 5.56-1,
bluez-libs 5.56-1,
bluez-tools 0.2.0-5,
bluez-utils 5.56-1,
boost-libs 1.75.0-2,
brave-bin 1:1.21.73-1,
broadcom-wl 6.30.223.271-271,
brotli 1.0.9-4,
btrfs-progs 5.10.1-2,
bubblewrap 0.4.1-1,
bzip2 1.0.8-4,
ca-certificates 20181109-4,
ca-certificates-mozilla 3.62-1,
ca-certificates-utils 20181109-4,
cairo 1.17.4-3,
cairomm 1.12.2-4,
cantarell-fonts 1:0.301-1,
cdparanoia 10.2-8,
cheese 3.38.0-1,
chromaprint 1.5.0-3,
cifs-utils 6.12-1,
clonezilla 3.35.2-3,
clutter 1.26.4-1,
clutter-gst 3.0.27-3,
clutter-gtk 1.8.4-2,
cogl 1.22.8-1,
colord 1.4.5-1,
confuse 3.3-3,
coreutils 8.32-1,
cracklib 2.9.7-2,
crda 4.14-3,
cryptsetup 2.3.4-2,
cups 1:2.3.3op2-1,
cups-filters 1.28.7-1,
cups-pdf 3.0.1-5,
curl 7.75.0-1,
darkhttpd 1.13-1,
dav1d 0.8.2-1,
db 5.3.28-5,
dbus 1.12.20-1,
dbus-glib 0.110-2,
dconf 0.38.0-1,
ddrescue 1.25-1,
desktop-file-utils 0.26-1,
device-mapper 2.03.11-5,
dex 0.9.0-1,
dhclient 4.4.2-2,
dialog 1:1.3_20210117-1,
diffutils 3.7-3,
ding-libs 0.6.1-3,
djvulibre 3.5.28-2,
dmidecode 3.3-1,
dmraid 1.0.0.rc16.3-13,
dnsmasq 2.84-1,
dnssec-anchors 20190629-3,
dosfstools 4.2-1,
double-conversion 3.1.5-2,
drbl 2.30.5-1,
dunst 1.5.0-1,
e2fsprogs 1.46.2-1,
ecryptfs-utils 111-4,
edid-decode-git r524.f40dfc0-1,
edk2-shell 202011-1,
efibootmgr 17-2,
efivar 37-4,
elfutils 0.183-3,
enchant 2.2.15-1,
ethtool 1:5.10-1,
evince 3.38.2-1,
exfatprogs 1.1.0-1,
exo 4.16.0-1,
expac 10-2,
expat 2.2.10-2,
f2fs-tools 1.14.0-1,
faac 1.30-2,
faad2 2.10.0-1,
fakeroot 1.25.3-2,
ffmpeg 2:4.3.1-4,
fftw 3.3.9-1,
file 5.39-1,
filesystem 2021.01.19-1,
findutils 4.8.0-1,
flac 1.3.3-2,
flex 2.6.4-3,
fluidsynth 2.1.7-1,
fontconfig 2:2.13.91+48+gfcb0420-2,
foomatic-db 3:20210222-1,
foomatic-db-engine 4:20200206-1,
foomatic-db-gutenprint-ppds 5.3.4-1,
foomatic-db-nonfree 3:20210222-1,
foomatic-db-nonfree-ppds 3:20210222-1,
foomatic-db-ppds 3:20210222-1,
freeoffice 982-1,
freetype2 2.10.4-1,
frei0r-plugins 1.7.0-1,
fribidi 1.0.10-1,
